# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.0
#@/tick	2403
#@/user_id	a5e57e08-b0e6-49e9-9b39-b4d5e009ac8f
a 	啊	c=2 d=1.00515 t=1808
a li 	阿裏	c=1 d=1 t=2216
a li 	阿里	c=1 d=0.995834 t=797
a li yun 	阿里雲	c=1 d=1 t=798
ai wo 	愛我	c=0 d=0.1 t=522
ai xiao 	愛笑	c=1 d=1 t=1318
an 	按	c=2 d=1.28794 t=987
an li 	案例	c=1 d=1 t=323
an quan gan 	安全感	c=1 d=1 t=2214
an shan 	鞍山	c=2 d=1.89583 t=918
an shi 	按時	c=1 d=1 t=751
an yi 	安逸	c=0 d=0.1 t=2245
an zhuang 	安裝	c=1 d=1 t=1
ao yun 	奧運	c=1 d=1 t=1382
ba 	吧	c=5 d=2.467 t=2057
ba dian 	八點	c=2 d=1.92774 t=1361
ba gong 	罷工	c=2 d=1.94649 t=2067
bai nian 	百年	c=0 d=0.1 t=2218
bai nian gu du 	百年孤獨	c=1 d=1 t=2219
bai zhan bu dai 	百戰不殆	c=1 d=1 t=2166
ban 	伴	c=1 d=1 t=573
ban 	搬	c=0 d=0.1 t=2067
ban 	版	c=1 d=1 t=1464
ban nian 	半年	c=2 d=1.00375 t=1823
ban wa gong 	搬瓦工	c=1 d=1 t=2068
bang bu shang 	幫不上	c=0 d=0.1 t=1583
bang bu shang mang 	幫不上忙	c=1 d=1 t=1584
bang wo 	幫我	c=1 d=1 t=1324
bao cun 	保存	c=1 d=1 t=1963
bao ni 	抱你	c=1 d=1 t=722
bao qian 	抱歉	c=1 d=1 t=586
bao zhen du 	保真度	c=1 d=1 t=1919
bao zheng 	保證	c=1 d=1 t=382
bei 	唄	c=1 d=1 t=627
bei 	被	c=5 d=1.05815 t=2120
bei da 	北大	c=0 d=0.1 t=1953
bei da nv sheng 	北大女生	c=1 d=1 t=1954
bei fang 	北方	c=1 d=1 t=1679
bei jing 	北京	c=2 d=1.97045 t=913
bei pao qi 	被拋棄	c=1 d=1 t=2128
bei shang 	北上	c=0 d=0.1 t=1662
bei shang guang shen 	北上廣深	c=1 d=1 t=1663
ben lai 	本來	c=2 d=1.90032 t=874
ben she 	本社	c=0 d=0.1 t=26
ben shen 	本身	c=1 d=1 t=1929
beng 	甭	c=0 d=0.1 t=2356
beng ke qi 	甭客氣	c=1 d=1 t=2357
bi 	比	c=5 d=1.90929 t=2083
bi ji ben 	筆記本	c=1 d=1 t=594
bi jiao 	比較	c=2 d=1.19205 t=472
bi jiao nan 	比較難	c=1 d=1 t=1769
bi li 	比例	c=2 d=1.19989 t=1412
bi ran 	必然	c=1 d=1 t=69
bi ru 	比如	c=4 d=1.00357 t=2303
bi te 	比特	c=1 d=1 t=1907
bi xu 	必須	c=1 d=1 t=478
bi ye 	畢業	c=2 d=1.00484 t=1879
bian 	編	c=0 d=0.1 t=1216
bian cheng 	變成	c=1 d=1 t=1321
bian hua 	變化	c=3 d=2.60271 t=138
bian zhi 	編制	c=1 d=1 t=2095
biao xian 	表現	c=1 d=1 t=119
biao zhun 	標準	c=4 d=1.26261 t=2132
bing 	並	c=1 d=1 t=461
bing bu 	並不	c=1 d=1 t=434
bing fei 	並非	c=1 d=1 t=335
bo shi 	博士	c=1 d=1.00197 t=2361
bo shi hou 	博士後	c=1 d=1 t=1885
bu 	不	c=5 d=1.37455 t=1999
bu da 	不大	c=1 d=1 t=245
bu duo 	不多	c=1 d=1 t=1271
bu fang bian 	不方便	c=1 d=1 t=1059
bu fen 	部分	c=0 d=0.1 t=568
bu guo 	不過	c=1 d=1 t=1531
bu hui 	不會	c=6 d=3.25087 t=2293
bu jian 	不見	c=1 d=1 t=1874
bu ke neng 	不可能	c=2 d=1.00034 t=2340
bu li 	不利	c=1 d=1 t=2346
bu ming bai 	不明白	c=0 d=0.1 t=1544
bu qing chu 	不清楚	c=1 d=1 t=1620
bu qu 	不去	c=1 d=1 t=2014
bu ran 	不然	c=2 d=1.16613 t=1610
bu ru 	不如	c=1 d=1 t=1681
bu shi 	不是	c=5 d=1.37525 t=2168
bu tie 	補貼	c=1 d=1 t=2102
bu tong 	不同	c=3 d=2.0005 t=350
bu xi huan 	不喜歡	c=1 d=1 t=1377
bu xia 	不下	c=0 d=0.1 t=2195
bu xia yu 	不下雨	c=1 d=1 t=831
bu xiang 	不想	c=2 d=1.18177 t=1661
bu xiang qu 	不想去	c=1 d=1 t=1678
bu yi ding 	不一定	c=1 d=1 t=2092
bu yi wei 	不意味	c=1 d=1 t=443
bu ying gai 	不應該	c=1 d=1 t=737
bu yong 	不用	c=1 d=1 t=1007
bu zhi 	不止	c=1 d=1 t=882
bu zhi dao 	不知道	c=2 d=1.72615 t=1842
bu zu 	不足	c=1 d=1 t=262
cai 	蔡	c=0 d=0.1 t=972
cai hui 	纔會	c=0 d=0.1 t=500
cai hui shi 	纔會是	c=1 d=1 t=501
cai jian ming 	蔡建明	c=1 d=1 t=973
cai liao 	材料	c=1 d=1 t=579
cai neng 	才能	c=2 d=1.00012 t=2180
cai shi 	纔是	c=3 d=1.00033 t=2191
cai suan 	纔算	c=1 d=1 t=2264
can 	餐	c=1 d=1 t=814
can jia 	參加	c=2 d=1.042 t=1456
cao gao 	草稿	c=1 d=1 t=699
ce liang 	測量	c=1 d=1 t=468
ce lve 	策略	c=1 d=1 t=94
cha 	差	c=1 d=1 t=1135
cha bu dao 	查不到	c=1 d=1 t=560
cha bu duo 	差不多	c=2 d=1.02448 t=2037
cha dao 	查到	c=1 d=1 t=1733
cha dian 	差點	c=2 d=1.8311 t=1603
cha ju 	差距	c=2 d=1.99005 t=879
chan sheng 	產生	c=3 d=2.55383 t=458
chang 	長	c=0 d=0.1 t=2273
chang huan 	償還	c=4 d=2.4861 t=1237
chang sha 	長沙	c=4 d=1.8066 t=1282
chang shi jian 	長時間	c=1 d=1 t=1962
chang zhou qi 	長週期	c=1 d=1 t=2274
chao 	潮	c=0 d=0.1 t=174
chao 	超	c=0 d=0.1 t=2293
chao you yu 	炒魷魚	c=1 d=1 t=1222
chao yu qi 	超預期	c=1 d=1 t=2294
che 	車	c=1 d=1 t=2048
chen 	趁	c=1 d=1 t=830
chen 	陳	c=0 d=0.1 t=1421
chen lao shi 	陳老師	c=3 d=2.29859 t=1654
chen zhi hua 	陳芝花	c=1 d=1 t=1475
cheng ben 	成本	c=2 d=1.00086 t=1667
cheng cai 	成才	c=1 d=1.09851 t=85
cheng cai lv 	成才率	c=1 d=1 t=83
cheng dan 	承擔	c=1 d=1 t=2142
cheng du 	成都	c=1 d=1 t=905
cheng du 	程度	c=1 d=1 t=1849
cheng hao 	稱號	c=2 d=1.72979 t=1247
cheng ji 	成績	c=0 d=0.1 t=627
cheng shan 	程山	c=1 d=1 t=1275
cheng shi 	城市	c=13 d=2.49274 t=2271
cheng shi fang mian 	城市方面	c=1 d=1 t=1659
cheng shu 	成熟	c=1 d=1 t=783
cheng yi 	乘以	c=1 d=1 t=1113
chong ji 	衝擊	c=1 d=1 t=159
chong qing 	重慶	c=1 d=1 t=911
chu 	出	c=0 d=0.1 t=627
chu 	除	c=2 d=1.00389 t=2220
chu cheng ji 	出成績	c=1 d=1 t=628
chu lai 	出來	c=1 d=1 t=1883
chu li 	處理	c=1 d=1.08187 t=2236
chu li shi qing 	處理事情	c=1 d=1 t=2197
chu lu 	出路	c=1 d=1 t=2182
chu qu 	除去	c=1 d=1 t=1114
chu zu che 	出租車	c=1 d=1 t=2040
ci deng 	此等	c=1 d=1 t=384
ci ji 	刺激	c=0 d=0.1 t=2246
ci wai 	此外	c=1 d=1 t=187
cong 	從	c=1 d=1 t=1593
cong shu yu 	從屬於	c=1 d=1 t=268
cu 	粗	c=1 d=1 t=1982
cu jin 	促進	c=1 d=1 t=301
cui ruo 	脆弱	c=1 d=1.04649 t=2136
cuo wu 	錯誤	c=1 d=1 t=650
da 	大	c=2 d=1.02599 t=1931
da ba 	大巴	c=1 d=1 t=2052
da bu 	大不	c=1 d=1 t=1528
da cheng shi 	大城市	c=2 d=1.99501 t=1077
da gai 	大概	c=1 d=1 t=1097
da hao 	搭好	c=1 d=1 t=796
da huo 	大夥	c=1 d=1 t=675
da huo 	大火	c=0 d=0.1 t=1952
da jia 	大家	c=1 d=1 t=2003
da lao 	大佬	c=1 d=1 t=1025
da lian 	大連	c=0 d=0.1 t=928
da lian li gong 	大連理工	c=2 d=1.83527 t=965
da shi 	大事	c=0 d=0.1 t=1520
da suan 	打算	c=1 d=1 t=1995
da ti 	答題	c=1 d=1 t=642
da ting 	打聽	c=0 d=0.1 t=952
da ting da ting 	打聽打聽	c=1 d=1 t=953
da tui 	大腿	c=1 d=1 t=723
da xue 	大學	c=14 d=1.34998 t=2319
da ya 	打壓	c=1 d=1 t=1173
da yin 	打印	c=1 d=1 t=1325
da yu 	大雨	c=1 d=1 t=1350
da yue 	大約	c=1 d=1 t=1093
da zhi 	大致	c=3 d=1.03107 t=1803
dai 	代	c=1 d=1 t=181
dai 	帶	c=3 d=1.0217 t=2358
dai 	待	c=1 d=1 t=667
dai biao 	代表	c=1 d=1 t=825
dai lai 	帶來	c=9 d=2.50439 t=2213
dai yu 	待遇	c=4 d=1.00689 t=2292
dai yu hao 	待遇好	c=2 d=1.00074 t=2289
dan 	但	c=3 d=1.01308 t=2090
dan wei 	單位	c=3 d=1.46991 t=2306
dan wei ling dao 	單位領導	c=1 d=1 t=2235
dan xin 	擔心	c=1 d=1.0956 t=2127
dan you 	擔憂	c=1 d=1 t=46
dang mian 	當面	c=0 d=0.1 t=1156
dang mian liao 	當面聊	c=1 d=1 t=1157
dang xia 	當下	c=1 d=1 t=47
dao 	到	c=2 d=1.009 t=1848
dao 	道	c=0 d=0.1 t=2003
dao de 	道德	c=1 d=1 t=431
dao ge bie 	道個別	c=1 d=1 t=2004
dao shi 	到時	c=2 d=1.01699 t=838
dao shi 	導師	c=2 d=1.99501 t=1071
dao zhi 	導致	c=2 d=1.5886 t=264
de 	地	c=2 d=1.51944 t=745
de 	的	c=137 d=9.22748 t=2395
de chu 	得出	c=1 d=1 t=346
de guo 	德國	c=4 d=1.45619 t=2324
de lai 	得來	c=0 d=0.1 t=2285
de tie 	德鐵	c=1 d=1 t=2066
deng 	等	c=6 d=1.02006 t=2207
deng ji 	等級	c=1 d=1 t=1175
di 	低	c=3 d=0.100052 t=2282
di 	第	c=1 d=1 t=542
di dian 	地點	c=1 d=1 t=923
di er 	第二	c=0 d=0.1 t=826
di er zhen 	第二針	c=1 d=1 t=827
di fang 	地方	c=2 d=1.85642 t=1568
di tu 	地圖	c=1 d=1 t=898
di yi 	第一	c=0 d=0.129083 t=1392
di yi dan wei 	第一單位	c=1 d=1 t=1146
di yi zuo zhe 	第一作者	c=1 d=1 t=1393
dian 	店	c=1 d=1 t=1374
dian 	點	c=0 d=0.108848 t=2061
dian chi 	電池	c=4 d=3.72233 t=592
dian shi 	電視	c=1 d=1 t=2390
dian zi 	電子	c=1 d=1 t=641
ding li 	定理	c=1 d=1 t=1431
dong fa 	懂法	c=1 d=1 t=749
dou 	都	c=5 d=1.29864 t=1923
dou hai 	都還	c=1 d=1 t=2331
dou shi 	都是	c=1 d=1 t=725
dou xiang 	都想	c=1 d=1 t=721
du sai er duo fu 	杜塞爾多夫	c=1 d=1 t=2318
dui 	對	c=13 d=1.01959 t=1525
dui fang 	對方	c=1 d=1 t=1112
dui hua 	對話	c=1 d=1 t=2315
dui le 	對了	c=1 d=1 t=679
dui yu 	對於	c=1 d=1 t=2370
duo 	多	c=2 d=0.161242 t=2163
duo di 	多低	c=1 d=1 t=1496
duo ge 	多個	c=1 d=1 t=269
duo ji lie 	多激烈	c=1 d=1 t=1627
duo jie chu 	多接觸	c=1 d=1 t=2164
duo lian xi 	多聯繫	c=1 d=1 t=938
duo shao 	多少	c=1 d=1 t=1413
duo sheng 	多生	c=1 d=1 t=90
duo ti jiu chan 	多體糾纏	c=1 d=1 t=1911
duo xie 	多些	c=1 d=1 t=2049
duo xie 	多謝	c=3 d=1.95187 t=1750
e xing xun huan 	惡性循環	c=1 d=1 t=197
en 	嗯	c=14 d=3.26148 t=2045
en hao 	嗯好	c=1 d=1 t=1693
en na 	嗯吶	c=1 d=1 t=1641
er 	二	c=2 d=1.57984 t=1419
er 	而	c=3 d=1.09134 t=1026
er fei 	而非	c=1 d=1 t=376
er shi 	二十	c=0 d=0.1 t=1499
er shi 	而是	c=1 d=1 t=340
er shi ming 	二十名	c=2 d=1.48919 t=1643
er xian 	二線	c=2 d=1.04179 t=1676
fa 	發	c=2 d=1.9802 t=117
fa gei 	發給	c=1 d=1 t=1463
fa hui 	發揮	c=1 d=1 t=2114
fa le 	發了	c=2 d=1.00072 t=1453
fa lv 	法律	c=1 d=1 t=332
fa sheng 	發生	c=1 d=1 t=298
fa xian 	發現	c=1 d=1 t=649
fa you jian 	發郵件	c=1 d=1 t=712
fa zhan 	發展	c=1 d=0.100573 t=1682
fa zhan hao 	發展好	c=1 d=0.151303 t=2277
fan er 	反而	c=1 d=1 t=2149
fang 	房	c=1 d=1 t=2310
fang 	方	c=1 d=1 t=1354
fang bian 	方便	c=1 d=1.09005 t=2335
fang bu 	房補	c=1 d=1 t=1207
fang cheng 	方程	c=1 d=1 t=1408
fang dai 	房貸	c=5 d=3.31328 t=1308
fang dong 	房東	c=1 d=1 t=2393
fang fa 	方法	c=1 d=1 t=986
fang jia 	房價	c=9 d=1.17459 t=2309
fang jia gao 	房價高	c=1 d=1 t=2280
fang jia tai gao 	房價太高	c=1 d=1 t=1665
fang mian 	方面	c=2 d=0.102336 t=1658
fang shi 	方式	c=3 d=1.97023 t=1029
fang xiang 	方向	c=3 d=1.01094 t=2227
fang zi 	房子	c=3 d=2.32275 t=1096
fei chang 	非常	c=1 d=1 t=1747
fei ji 	飛機	c=1 d=1 t=2035
fei sheng 	飛昇	c=1 d=1 t=1562
fei sheng ji zou 	非昇即走	c=4 d=1.46413 t=1844
fen pei 	分配	c=1 d=1 t=1083
fen shu 	分數	c=0 d=0.1 t=2282
fen shu di 	分數低	c=1 d=1 t=2283
fen wei 	氛圍	c=1 d=1 t=1164
fen xi 	分析	c=1 d=1 t=2072
feng 	封	c=1 d=1 t=1454
feng ping 	風評	c=1 d=1 t=956
feng sheng shui qi 	風生水起	c=1 d=1 t=2232
fu he 	符合	c=2 d=1.00003 t=2130
fu jian 	附件	c=1 d=0.815338 t=605
fu jian zhong 	附件中	c=1 d=1 t=606
fu jiao shou 	副教授	c=1 d=1 t=1211
fu nv 	婦女	c=1 d=1 t=99
fu shu 	附屬	c=1 d=1 t=1227
fu wu 	服務	c=1 d=1 t=536
fu xiao zhang 	副校長	c=1 d=1 t=1762
fu yang 	撫養	c=2 d=1.96561 t=213
fu yuan zhang 	副院長	c=1 d=1 t=972
fu ze 	負責	c=1 d=1 t=1032
gai 	改	c=1 d=1 t=1468
gai cheng 	改成	c=1 d=1 t=2385
gan jue 	感覺	c=3 d=1.87149 t=1529
gan shou 	感受	c=1 d=1 t=1161
gan xie 	感謝	c=1 d=1 t=1748
gang 	剛	c=2 d=1.15412 t=1825
gang bi 	鋼筆	c=2 d=1.99501 t=1979
gang wei 	崗位	c=0 d=0.1 t=1216
gang wei bian 	崗位編	c=1 d=1 t=1217
gao 	高	c=3 d=0.115247 t=2279
gao ding 	搞定	c=1 d=1 t=1520
gao kao 	高考	c=1 d=1 t=2282
gao mi 	告密	c=1 d=1 t=1943
gao su wo 	告訴我	c=1 d=1 t=1724
gao tie 	高鐵	c=1 d=1 t=909
gao xiao 	高校	c=3 d=1.51483 t=2076
ge 	個	c=5 d=1.46803 t=1920
ge bie 	個別	c=0 d=0.1 t=2003
ge ji 	各級	c=1 d=1 t=1148
ge li 	割離	c=1 d=1 t=2134
ge zhong 	各種	c=1 d=1 t=1252
gei 	給	c=3 d=1.58563 t=1245
gei le 	給了	c=1 d=1 t=1869
gei nin 	給您	c=1 d=1 t=1452
gen 	跟	c=3 d=1.00288 t=2002
geng 	更	c=3 d=1.00493 t=2183
geng duo 	更多	c=1 d=1 t=1744
geng gao 	更高	c=1 d=1 t=984
geng hao 	更好	c=3 d=1.28545 t=1599
geng huan 	更換	c=2 d=1.75578 t=590
geng jia 	更加	c=1 d=1 t=93
geng shou 	更受	c=0 d=0.1 t=2232
geng shou ren ke 	更受認可	c=1 d=1 t=2233
geng you 	更有	c=1 d=1 t=397
geng zao 	更早	c=1 d=1 t=2058
gong gong zi yuan 	公共資源	c=1 d=1 t=218
gong kai ke 	公開課	c=1 d=1 t=482
gong li zhu yi 	功利主義	c=1 d=1 t=367
gong pai 	公派	c=2 d=1.04665 t=2323
gong ping 	公平	c=1 d=1 t=436
gong si 	公司	c=2 d=1.86071 t=759
gong xi 	恭喜	c=1 d=1 t=1707
gong yue 	公約	c=6 d=5.36526 t=375
gong zheng 	公正	c=6 d=4.113 t=502
gong zi 	工資	c=1 d=0.146635 t=2097
gong zi fang jia 	工資房價	c=1 d=1 t=2098
gong zi gao 	工資高	c=1 d=1 t=1903
gong zuo 	工作	c=3 d=1.0014 t=2190
gu bao 	鼓包	c=1 d=1 t=588
gu dan 	孤單	c=1 d=1.04176 t=2136
gu dan cui ruo 	孤單脆弱	c=1 d=1 t=2137
gu du 	孤獨	c=0 d=0.1 t=2218
gu er 	故而	c=1 d=1 t=441
gu ji 	估計	c=2 d=1.99005 t=861
gu xiong 	顧兇	c=1 d=1 t=1956
guan yu 	關於	c=4 d=1.93077 t=1447
guang 	光	c=0 d=0.1 t=1476
guang ming zheng da 	光明正大	c=1 d=1 t=744
guang shen 	廣深	c=0 d=0.1 t=1662
guang xue 	光學	c=1 d=1 t=1891
guang zhou 	廣州	c=0 d=0.1 t=2096
guang zhou shen zhen 	廣州深圳	c=1 d=1 t=2097
guang zi 	光子	c=1 d=1 t=1921
gui ding 	規定	c=1 d=1 t=1767
gui fan 	規範	c=0 d=0.1 t=2238
gui le 	貴了	c=1 d=1 t=2042
gui lv 	規律	c=1 d=1 t=62
guo an 	國安	c=1 d=1 t=2347
guo cheng 	過程	c=2 d=1.01699 t=950
guo fang ke ji 	國防科技	c=1 d=1 t=1288
guo jia 	國家	c=5 d=1.03109 t=2322
guo jia liang zi 	國家量子	c=1 d=1 t=1482
guo jia shi yan shi 	國家實驗室	c=1 d=1 t=2079
guo lai 	過來	c=1 d=1 t=657
guo le 	過了	c=0 d=0.1 t=629
guo le ma 	過了嗎	c=1 d=1 t=630
guo nei 	國內	c=6 d=1.80461 t=1843
guo qi 	過期	c=1 d=1 t=709
guo shi 	過時	c=1 d=1 t=885
guo wai 	國外	c=1 d=1 t=595
ha ha 	哈哈	c=7 d=1.94887 t=1758
hai 	還	c=3 d=1.14904 t=1335
hai de 	還得	c=1 d=1 t=1809
hai di 	海地	c=1 d=1 t=841
hai hao 	還好	c=1 d=1 t=1340
hai mei 	還沒	c=1 d=1 t=1835
hai neng 	還能	c=3 d=2.38188 t=2001
hai pa 	害怕	c=1 d=1 t=2074
hai shi 	還是	c=5 d=1.77343 t=1988
hai suan 	還算	c=1 d=1 t=782
hai wai 	海外	c=2 d=1.01329 t=2389
hai wai you qing 	海外優青	c=1 d=1 t=1946
hai yang 	海洋	c=0 d=0.1 t=960
hai you 	還有	c=2 d=1.00359 t=1881
han yu 	漢語	c=2 d=1.99501 t=2317
han zi 	漢字	c=1 d=1 t=14
hao 	好	c=3 d=1.15824 t=2000
hao bu 	好不	c=1 d=1 t=1799
hao de 	好的	c=4 d=1.01956 t=2350
hao dian 	好點	c=1 d=1 t=1631
hao huai 	好壞	c=1 d=1 t=2272
hao xiang 	好像	c=2 d=1.04736 t=2374
hao xie 	好些	c=1 d=1 t=1075
he 	和	c=20 d=1.66601 t=2392
he fa hua 	合法化	c=1 d=1 t=408
he fei 	合肥	c=1 d=1 t=2077
he nan 	河南	c=2 d=1.48191 t=1495
he suan 	覈算	c=0 d=0.1 t=1986
he suan jian ce 	覈算檢測	c=1 d=1 t=1987
he tong 	合同	c=9 d=7.01738 t=500
he yue 	合約	c=2 d=1.96561 t=403
he zuo 	合作	c=0 d=0.1 t=2285
he zuo de lai 	合作得來	c=1 d=1 t=2286
hen 	很	c=3 d=0.378816 t=2238
hen cha 	很差	c=1 d=1 t=964
hen duo 	很多	c=1 d=1 t=1136
hen duo ren 	很多人	c=0 d=0.1 t=1789
hen gao 	很高	c=1 d=1 t=1863
hen gui fan 	很規範	c=1 d=1 t=2239
hen hao 	很好	c=2 d=1.95123 t=978
hen ji lie 	很激烈	c=1 d=1 t=1552
hen jian dan 	很簡單	c=1 d=1 t=626
hen nan 	很難	c=1 d=1.08607 t=2155
hen nan sheng cun 	很難生存	c=1 d=1 t=2126
hen xiang jin 	很詳盡	c=1 d=1 t=1749
hen zhong yao 	很重要	c=1 d=1 t=1588
